,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
0,1,ALPHABET CITY            ,03  THREE FAMILY DWELLINGS                  ,376,24,C0,264 EAST 7TH   STREET                    ,10009,3,0,3,2059,3696,1900,7738700,2016-12-22
1,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,375,28,C4,738 EAST 6TH STREET                      ,10009,11,0,11,1750,6500,1900,3750000,2017-04-03
2,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,385,36,C7,27 AVENUE C                              ,10009,24,1,25,2650,9960,1910,5235000,2017-07-11
3,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,392,5,C2,151 AVENUE B                             ,10009,5,0,5,2139,4416,1900,0,2017-06-16
4,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,392,6,C2,153 AVENUE B                             ,10009,5,0,5,1633,6440,1900,6625000,2017-07-19
5,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,399,26,C7,234 EAST 4TH   STREET                    ,10009,28,3,31,4616,18690,1900,0,2016-12-14
6,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,399,39,C7,197 EAST 3RD   STREET                    ,10009,16,1,17,2212,7803,1900,0,2016-12-09
7,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,404,55,C2,301 EAST 10TH   STREET                   ,10009,6,0,6,2369,4615,1900,8000000,2016-11-17
8,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,405,16,C4,516 EAST 12TH   STREET                   ,10009,20,0,20,2581,9730,1900,0,2017-07-20
9,1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,407,18,C7,520 EAST 14TH   STREET                   ,10009,44,2,46,5163,21007,1900,0,2017-07-20
10,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,379,34,D5,141 AVENUE D                             ,10009,15,0,15,1534,9198,1920,0,2017-06-20
11,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,387,153,D9,629 EAST 5TH STREET                      ,10009,24,0,24,4489,18523,1920,16232000,2016-11-07
12,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,394,44,D7,181 AVENUE C                             ,10009,30,4,34,4295,21328,1910,0,2017-07-20
13,1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,400,21,D1,530-532 EAST 5TH STREET                  ,10009,10,0,10,3717,12350,2009,10350000,2016-10-17
21,1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,376,14,C6,244 EAST 7TH STREET                      ,10009,24,0,24,4131,16776,1928,11900000,2017-06-21
73,1,ALPHABET CITY            ,11A CONDO-RENTALS                           ,385,1102,RR,254 EAST 2ND STREET                      ,10009,47,0,47,0,36472,2005,28000000,2016-10-13
75,1,ALPHABET CITY            ,11A CONDO-RENTALS                           ,397,1301,RR,250 EAST HOUSTON STREET                  ,10002,132,0,132,33650,110432,1989,52625000,2016-10-19
172,1,ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,391,19,S3,624 EAST 9TH   STREET                    ,10009,3,1,4,1520,3360,1910,3300000,2016-11-15
173,1,ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,393,4,S4,165 AVENUE B                             ,10009,4,1,5,2201,5608,1900,7215000,2017-01-30
174,1,ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,394,5,S5,183 AVENUE B                             ,10009,5,1,6,1779,3713,1910,4750000,2017-04-03
175,1,ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,394,5,S5,183 AVENUE B                             ,10009,5,1,6,1779,3713,1910,0,2017-04-03
195,1,ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,399,11,M9,206 EAST 4TH   STREET                    ,10009,0,1,1,32246,39246,1900,0,2017-01-13
196,1,ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,399,51,M3,173 EAST 3RD   STREET                    ,10009,0,1,1,3408,13632,1900,0,2017-01-13
203,1,CHELSEA                  ,01  ONE FAMILY DWELLINGS                    ,766,13,A9,251 WEST 16TH   STREET                   ,10011,1,0,1,1360,2736,1910,0,2017-01-06
204,1,CHELSEA                  ,01  ONE FAMILY DWELLINGS                    ,766,13,A9,251 WEST 16TH   STREET                   ,10011,1,0,1,1360,2736,1910,0,2016-10-20
205,1,CHELSEA                  ,01  ONE FAMILY DWELLINGS                    ,771,52,A9,224 WEST 22ND   STREET                   ,10011,1,0,1,1975,3855,1901,7425000,2016-12-30
206,1,CHELSEA                  ,01  ONE FAMILY DWELLINGS                    ,772,29,A4,231 WEST 22ND   STREET                   ,10011,1,0,1,1588,5653,1900,10,2017-01-30
207,1,CHELSEA                  ,01  ONE FAMILY DWELLINGS                    ,772,29,A4,231 WEST 22ND   STREET                   ,10011,1,0,1,1588,5653,1900,10,2017-01-30
208,1,CHELSEA                  ,01  ONE FAMILY DWELLINGS                    ,772,29,A4,231 WEST 22ND   STREET                   ,10011,1,0,1,1588,5653,1900,10,2017-01-30
209,1,CHELSEA                  ,02  TWO FAMILY DWELLINGS                    ,743,17,B3,343 WEST 19TH   STREET                   ,10011,2,0,2,1397,4224,1900,0,2017-08-11
210,1,CHELSEA                  ,02  TWO FAMILY DWELLINGS                    ,743,61,B3,328 WEST 20TH STREET                     ,10011,2,0,2,1526,3168,1910,0,2017-02-24
211,1,CHELSEA                  ,02  TWO FAMILY DWELLINGS                    ,766,18,B1,241 WEST 16TH   STREET                   ,10011,2,0,2,2000,2520,1901,0,2017-03-28
212,1,CHELSEA                  ,02  TWO FAMILY DWELLINGS                    ,769,49,S2,218 WEST 20TH   STREET                   ,10011,2,1,3,2150,4978,1920,7750000,2017-04-17
213,1,CHELSEA                  ,03  THREE FAMILY DWELLINGS                  ,717,47,C0,406 WEST 20TH STREET                     ,10011,3,0,3,2227,3696,1901,0,2017-01-31
214,1,CHELSEA                  ,03  THREE FAMILY DWELLINGS                  ,719,67,C0,444 WEST 22ND STREET                     ,10011,3,0,3,2469,3725,1901,8300000,2017-02-02
216,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,719,19,C1,439 WEST 21ST   STREET                   ,10011,8,0,8,1577,3600,1910,5720000,2017-09-15
217,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,719,47,C5,406 WEST 22ND   STREET                   ,10011,10,0,10,1026,3990,1900,0,2017-06-12
218,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,722,6,C3,459 WEST 24TH   STREET                   ,10011,4,0,4,2057,2890,1910,5950000,2016-10-26
219,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,743,56,C5,318 WEST 20TH STREET                     ,10011,24,0,24,2307,4500,1900,7375000,2017-02-06
220,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,745,63,C3,348 WEST 22ND STREET                     ,10011,4,0,4,2057,3042,1900,8000000,2017-02-06
221,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,764,68,C4,256 WEST 15TH STREET                     ,10011,22,2,24,2581,13056,1901,14100000,2017-03-23
222,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,765,25,C4,219 WEST 15TH STREET                     ,10011,9,0,9,1566,6330,1901,1583840,2017-08-31
223,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,765,25,C4,219 WEST 15TH STREET                     ,10011,9,0,9,1566,6330,1901,416790,2017-08-31
224,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,765,25,C4,219 WEST 15TH STREET                     ,10011,9,0,9,1566,6330,1901,630370,2017-08-31
225,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,765,26,C3,217 WEST 15TH  STREET                    ,10011,4,0,4,2065,4500,1901,0,2017-07-27
226,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,770,53,C1,222 WEST 21ST   STREET                   ,10011,9,0,9,2029,8540,1920,29400000,2016-11-10
227,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,770,54,C1,224 WEST 21ST   STREET                   ,10011,16,0,16,2927,11580,1920,0,2016-11-10
228,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,772,30,C1,229 WEST 22ND   STREET                   ,10011,8,0,8,1588,3600,1910,0,2016-10-28
229,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,790,8,C7,149 WEST 14TH STREET                     ,10011,8,1,9,2581,7650,1920,6450000,2017-02-02
230,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,790,9,C7,147 WEST 14TH STREET                     ,10011,15,1,16,2077,6335,1901,5500000,2017-02-02
231,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,790,10,C7,145 WEST 14TH STREET                     ,10011,8,1,9,1952,5955,1920,5750000,2017-02-02
232,1,CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,790,63,C1,148 WEST 15TH   STREET                   ,10011,8,0,8,2000,4100,1910,3485000,2016-12-05
233,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,695,6,D6,559 WEST 23RD   STREET                   ,10011,6,1,7,2469,19892,2014,4600000,2016-11-29
234,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,700,27,D6,509 WEST 28TH   STREET                   ,10001,210,1,211,12344,269584,2014,0,2017-05-25
235,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,700,42,D6,512 WEST 29TH   STREET                   ,10001,210,1,211,4937,269584,2014,0,2017-05-25
236,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,700,44,D6,516 WEST 29TH   STREET                   ,10001,210,1,211,2468,269584,2014,0,2017-05-25
237,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,700,45,D6,518 WEST 29TH   STREET                   ,10001,210,1,211,4937,269584,2014,0,2017-05-25
238,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,717,19,D1,417 WEST 19TH STREET                     ,10011,36,0,36,29275,45420,1965,0,2017-08-25
239,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,773,27,D7,225 WEST 23RD   STREET                   ,10011,127,11,138,12961,66524,1930,100000000,2017-08-31
240,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,773,56,D1,220 WEST 24TH   STREET                   ,10011,118,0,118,12961,57207,1930,0,2017-08-31
241,1,CHELSEA                  ,08  RENTALS - ELEVATOR APARTMENTS           ,794,11,D7,155 WEST 18TH                            ,10011,30,2,32,10053,78882,2014,2341975,2016-10-28
278,1,CHELSEA                  ,09  COOPS - WALKUP APARTMENTS               ,744,32,C6,309 WEST 20TH   STREET                   ,10011,24,0,24,4600,12200,1850,282000,2016-10-19
818,1,CHELSEA                  ,14  RENTALS - 4-10 UNIT                     ,716,1,S4,130 TENTH AVENUE                         ,10011,4,1,5,1875,5225,1910,10581818,2016-11-04
819,1,CHELSEA                  ,14  RENTALS - 4-10 UNIT                     ,722,75,S3,256 10TH AVENUE                          ,10001,3,1,4,1146,3339,1910,10,2017-01-27
820,1,CHELSEA                  ,14  RENTALS - 4-10 UNIT                     ,738,79,S3,58-60 NINTH AVENUE                       ,10011,3,1,4,3413,7719,1899,0,2017-07-07
821,1,CHELSEA                  ,14  RENTALS - 4-10 UNIT                     ,769,69,S9,192 8 AVENUE                             ,10011,4,2,6,2500,4447,1910,8250000,2016-12-16
916,1,CHELSEA                  ,21  OFFICE BUILDINGS                        ,692,63,O2,558 WEST 21ST STREET                     ,10011,0,3,3,1360,4080,1900,17300000,2017-06-30
917,1,CHELSEA                  ,21  OFFICE BUILDINGS                        ,790,32,O1,531-537 AVENUE OF THE AMER               ,10011,0,1,1,6468,14056,1953,42400000,2017-04-18
918,1,CHELSEA                  ,21  OFFICE BUILDINGS                        ,801,24,O3,119 WEST 25TH   STREET                   ,10001,0,13,13,9875,113062,1906,150000000,2016-12-16
919,1,CHELSEA                  ,21  OFFICE BUILDINGS                        ,801,58,O5,128 WEST 26TH STREET                     ,10001,0,5,5,2469,10250,1930,10150000,2017-07-17
920,1,CHELSEA                  ,21  OFFICE BUILDINGS                        ,803,29,O6,109 WEST 27TH   STREET                   ,10013,0,24,24,3950,43968,1908,0,2017-07-13
921,1,CHELSEA                  ,22  STORE BUILDINGS                         ,695,28,K1,511 WEST 23RD   STREET                   ,10011,0,1,1,3456,3636,2015,0,2017-08-16
922,1,CHELSEA                  ,22  STORE BUILDINGS                         ,695,43,K1,506 WEST 24TH   STREET                   ,10011,0,1,1,4937,4937,2015,0,2017-08-16
923,1,CHELSEA                  ,22  STORE BUILDINGS                         ,696,10,K1,537 WEST 24TH STREET                     ,10011,0,1,1,7406,7943,1946,0,2016-10-20
924,1,CHELSEA                  ,22  STORE BUILDINGS                         ,696,28,K1,507 WEST 24TH                            ,10011,0,1,1,3950,7900,2013,10750000,2016-12-28
925,1,CHELSEA                  ,22  STORE BUILDINGS                         ,716,2,K4,132 TENTH AVENUE                         ,10011,0,1,1,1675,3909,1910,8818181,2016-11-04
926,1,CHELSEA                  ,22  STORE BUILDINGS                         ,716,2,K4,132 10TH AVENUE                          ,10011,0,1,1,1675,3909,1910,0,2016-11-04
927,1,CHELSEA                  ,22  STORE BUILDINGS                         ,717,5,K1,459 WEST 19TH   STREET                   ,10011,0,1,1,3800,3800,1910,20000000,2017-06-27
928,1,CHELSEA                  ,22  STORE BUILDINGS                         ,773,1,K2,258 8 AVENUE                             ,10011,0,4,4,19750,39500,1932,107250000,2017-08-08
929,1,CHELSEA                  ,22  STORE BUILDINGS                         ,774,1,K1,280 8 AVENUE                             ,10001,0,1,1,8986,17590,1963,0,2016-10-06
930,1,CHELSEA                  ,22  STORE BUILDINGS                         ,790,36,K4,539 AVENUE OF THE AMER                   ,10011,2,2,4,1586,4271,1920,10600000,2017-04-18
931,1,CHELSEA                  ,23  LOFT BUILDINGS                          ,771,29,L9,217-219 WEST 21ST   STREET               ,10011,0,2,2,4938,13688,1920,0,2016-12-15
932,1,CHELSEA                  ,23  LOFT BUILDINGS                          ,799,12,L8,155 WEST 23RD   STREET                   ,10011,0,6,6,5925,68940,1910,0,2016-12-20
933,1,CHELSEA                  ,23  LOFT BUILDINGS                          ,799,63,L8,140 WEST 24TH   STREET                   ,10011,0,3,3,1852,3980,1920,9174156,2017-01-18
934,1,CHELSEA                  ,23  LOFT BUILDINGS                          ,800,14,L8,147 WEST 24TH   STREET                   ,10011,0,6,6,2469,17800,1910,0,2017-08-11
935,1,CHELSEA                  ,23  LOFT BUILDINGS                          ,801,19,L1,133 WEST 25TH   STREET                   ,10001,0,19,19,4937,45449,1921,33000000,2017-02-01
936,1,CHELSEA                  ,25  LUXURY HOTELS                           ,801,71,H1,152 WEST 26TH STREET                     ,10001,0,1,1,9826,122236,2010,139725000,2016-12-05
937,1,CHELSEA                  ,26  OTHER HOTELS                            ,753,33,H8,305 WEST 29TH   STREET                   ,10001,0,1,1,2271,5260,1900,4300000,2017-07-12
938,1,CHELSEA                  ,26  OTHER HOTELS                            ,772,64,H3,216-222 WEST 23RD   STREET               ,10011,0,10,10,17281,170750,1900,92007576,2016-10-28
939,1,CHELSEA                  ,26  OTHER HOTELS                            ,799,24,H3,131 WEST 23                              ,10011,0,4,4,17968,43702,1925,0,2016-11-03
944,1,CHELSEA                  ,35  INDOOR PUBLIC AND CULTURAL FACILITIES   ,792,70,P7,115 SEVENTH AVENUE                       ,10011,0,1,1,5296,39936,1924,0,2017-04-17
945,1,CHELSEA                  ,38  ASYLUMS AND HOMES                       ,764,11,N2,249 WEST 14TH   STREET                   ,10011,35,0,35,2496,5802,1920,7995000,2017-07-31
988,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,162,15,C7,28 MOTT STREET                           ,10013,17,1,18,2307,8577,1920,0,2017-06-16
989,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,164,28,C7,45 MOTT STREET                           ,10013,11,3,14,2380,7946,1915,8275000,2016-11-16
990,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,164,29,C7,43 MOTT STREET                           ,10013,16,15,31,2354,10700,1915,0,2016-11-16
991,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,200,26,C7,67 MOTT STREET                           ,10013,16,1,17,2390,9013,1910,0,2017-04-24
992,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,277,2,C7,77 MADISON STREET                        ,10002,28,2,30,5029,21274,1918,4250000,2017-02-16
993,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,280,3,C4,27 HENRY STREET                          ,10002,16,0,16,2500,9474,1900,0,2017-08-10
994,1,CHINATOWN                ,07  RENTALS - WALKUP APARTMENTS             ,293,10,C7,26 ELDRIDGE STREET                       ,10002,8,2,10,1575,6450,1900,0,2017-01-26
1052,1,CHINATOWN                ,14  RENTALS - 4-10 UNIT                     ,199,1,S5,79 BAXTER STREET                         ,10013,6,1,7,2500,9835,1890,10,2017-01-17
1055,1,CHINATOWN                ,22  STORE BUILDINGS                         ,162,26,K4,15 DOYERS STREET                         ,10013,2,5,7,2941,8571,1915,0,2017-02-10
1056,1,CHINATOWN                ,22  STORE BUILDINGS                         ,162,47,K4,10-14 DOYERS STREET                      ,10013,1,3,4,892,1784,1920,3000000,2017-07-31
1057,1,CHINATOWN                ,22  STORE BUILDINGS                         ,162,57,K4,10 BOWERY                                ,10013,2,2,4,1360,3274,1920,4350000,2017-05-30
1058,1,CHINATOWN                ,22  STORE BUILDINGS                         ,163,16,K4,46 MOTT STREET                           ,10013,0,2,2,1098,2712,1915,2700000,2017-01-05
1059,1,CHINATOWN                ,22  STORE BUILDINGS                         ,237,21,K4,139 MOTT STREET                          ,10013,0,1,1,2450,8550,1910,6780000,2017-08-24
1060,1,CHINATOWN                ,22  STORE BUILDINGS                         ,237,21,K4,139 MOTT STREET                          ,10013,0,1,1,2450,8550,1910,0,2017-08-24
1061,1,CHINATOWN                ,23  LOFT BUILDINGS                          ,281,44,L8,41-43 DIVISION STREET                    ,10002,0,8,8,3465,20968,1900,15500000,2016-12-20
1100,1,CIVIC CENTER             ,07  RENTALS - WALKUP APARTMENTS             ,175,19,C7,41 WHITE STREET                          ,10013,7,1,8,2633,12000,1915,141500000,2017-07-13
1101,1,CIVIC CENTER             ,08  RENTALS - ELEVATOR APARTMENTS           ,124,10,D7,23 PARK PLACE                            ,10007,6,1,7,4400,21840,1915,15000000,2017-05-19
1102,1,CIVIC CENTER             ,08  RENTALS - ELEVATOR APARTMENTS           ,173,17,D7,74 LEONARD STREET                        ,10013,18,1,19,3828,24423,1920,21250000,2017-05-25
1103,1,CIVIC CENTER             ,08  RENTALS - ELEVATOR APARTMENTS           ,175,20,D5,45 WHITE STREET                          ,10013,18,2,20,4993,33500,1915,0,2017-07-13
1104,1,CIVIC CENTER             ,08  RENTALS - ELEVATOR APARTMENTS           ,178,16,D6,217 WEST BROADWAY                        ,10013,7,1,8,4242,26981,2005,0,2017-04-05
1127,1,CIVIC CENTER             ,11A CONDO-RENTALS                           ,146,1402,RR,148 DUANE STREET                         ,10013,3,0,3,3909,9537,1930,0,2017-04-11
1355,1,CIVIC CENTER             ,14  RENTALS - 4-10 UNIT                     ,135,21,S5,90 CHAMBERS STREET                       ,10007,5,1,6,1877,8885,1915,10725000,2017-05-15
1356,1,CIVIC CENTER             ,14  RENTALS - 4-10 UNIT                     ,175,2,S4,74 FRANKLIN STREET                       ,10013,4,1,5,2621,9796,1915,0,2017-07-13
1376,1,CIVIC CENTER             ,21  OFFICE BUILDINGS                        ,173,2,O5,85 WORTH STREET                          ,10013,0,5,5,4764,20700,1920,17850000,2017-07-27
1377,1,CIVIC CENTER             ,21  OFFICE BUILDINGS                        ,173,2,O5,85 WORTH                                 ,10013,0,5,5,4764,20700,1920,3150000,2017-07-27
1378,1,CIVIC CENTER             ,21  OFFICE BUILDINGS                        ,178,5,O8,104 FRANKLIN STREET                      ,10013,2,4,6,2512,10500,1900,10750000,2017-09-12
1379,1,CIVIC CENTER             ,22  STORE BUILDINGS                         ,133,13,K9,57 MURRAY STREET                         ,10007,0,2,2,2188,4200,1900,25000000,2017-04-05
1380,1,CIVIC CENTER             ,22  STORE BUILDINGS                         ,133,14,K9,59 MURRAY STREET                         ,10007,0,1,1,2187,4425,1900,0,2017-04-05
1381,1,CIVIC CENTER             ,22  STORE BUILDINGS                         ,133,15,K9,61 MURRAY STREET                         ,10007,27,7,34,6625,33702,1900,0,2017-04-05
1382,1,CIVIC CENTER             ,22  STORE BUILDINGS                         ,133,15,K9,57 MURRAY STREET                         ,10007,27,7,34,6625,33702,1900,0,2017-02-15
1383,1,CIVIC CENTER             ,22  STORE BUILDINGS                         ,178,19,K4,225 WEST BROADWAY                        ,10013,0,2,2,1796,3875,1915,0,2017-02-03
1384,1,CIVIC CENTER             ,23  LOFT BUILDINGS                          ,178,6,L9,106 FRANKLIN STREET                      ,10013,0,6,6,2536,11000,1915,11500000,2017-01-25
1385,1,CIVIC CENTER             ,23  LOFT BUILDINGS                          ,178,6,L9,106 FRANKLIN STREET                      ,10013,0,6,6,2536,11000,1915,0,2016-10-20
1397,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1053,4,C7,602 10TH   AVENUE                        ,10036,14,1,15,2217,9475,1910,0,2016-11-04
1398,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1053,10,C2,451 WEST 43RD   STREET                   ,10036,6,0,6,2510,4944,1920,0,2016-12-22
1399,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1053,47,C2,428 WEST 44TH STREET                     ,10036,6,0,6,2008,4032,1901,0,2016-10-28
1400,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1054,47,C4,426 WEST 45TH STREET                     ,10036,20,0,20,2510,9405,1901,0,2016-12-23
1401,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1054,55,C7,442 WEST 45TH   STREET                   ,10036,16,1,17,2510,8600,1900,0,2016-12-30
1402,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1054,128,C4,403 WEST 44TH   STREET                   ,10036,8,0,8,2008,4000,1920,10,2016-10-06
1403,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1056,11,C7,451 WEST 46TH   STREET                   ,10036,8,2,10,2427,7300,1920,0,2016-12-30
1404,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1057,9,C5,455 WEST 47TH   STREET                   ,10036,15,0,15,2010,4032,1920,0,2016-12-30
1405,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1058,9,C4,443 WEST 48TH   STREET                   ,10036,10,0,10,2510,8175,1901,3100000,2017-06-28
1406,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1058,10,C1,441 WEST 48TH   STREET                   ,10036,12,0,12,2510,8175,1901,12400000,2017-06-28
1407,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1058,11,C4,439 WEST 48TH   STREET                   ,10036,12,0,12,2085,8165,1901,0,2017-06-28
1408,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1060,158,C2,458 WEST 51 STREET                       ,10019,5,0,5,2092,4120,1920,7000000,2017-07-18
1409,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1061,63,C7,760 10TH  AVENUE                         ,10019,8,2,10,1875,7500,1920,0,2017-06-28
1410,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1064,4,C7,818 10TH   AVENUE                        ,10019,16,2,18,3333,12330,1910,11500000,2017-03-07
1411,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1067,55,C4,454 WEST 58TH   STREET                   ,10019,12,0,12,2502,9625,1910,11435000,2017-01-18
1412,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1099,30,C7,723 ELEVENTH AVENUE                      ,10019,11,1,12,2508,10035,1901,10,2016-10-06
1413,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1099,31,C7,725 ELEVENTH AVENUE                      ,10019,12,1,13,2508,10035,1901,10,2016-10-06
1414,1,CLINTON                  ,07  RENTALS - WALKUP APARTMENTS             ,1099,36,C5,735 11TH   AVENUE                        ,10019,7,2,9,2508,7822,1940,0,2016-12-30
1415,1,CLINTON                  ,08  RENTALS - ELEVATOR APARTMENTS           ,1055,27,D1,409 WEST 45TH STREET                     ,10036,7,0,7,2410,10119,2016,15093194,2017-05-31
1416,1,CLINTON                  ,08  RENTALS - ELEVATOR APARTMENTS           ,1064,12,D1,437 WEST 54TH   STREET                   ,10019,20,0,20,2510,9920,1901,0,2017-08-29
1724,1,CLINTON                  ,21  OFFICE BUILDINGS                        ,1085,36,O3,500 WEST 57TH   STREET                   ,10019,0,1,1,3825,23923,1913,19000000,2017-09-19
1725,1,CLINTON                  ,21  OFFICE BUILDINGS                        ,1098,22,O2,615 WEST 50TH   STREET                   ,10019,0,2,2,10042,18417,1940,0,2017-03-21
1726,1,CLINTON                  ,21  OFFICE BUILDINGS                        ,1098,29,O2,601 WEST 50TH   STREET                   ,10019,0,10,10,17573,103788,1940,0,2017-03-21
1728,1,CLINTON                  ,29  COMMERCIAL GARAGES                      ,1094,11,GW,638 WEST 47TH   STREET                   ,10036,0,1,1,5021,2875,1940,21500000,2017-07-18
1729,1,CLINTON                  ,29  COMMERCIAL GARAGES                      ,1095,24,G2,607-611 WEST 47TH   STREET               ,10036,0,2,2,7531,15062,1940,18500000,2017-01-20
1732,1,CLINTON                  ,32  HOSPITAL AND HEALTH FACILITIES          ,1057,13,I7,441 WEST 47TH   STREET                   ,10036,20,1,21,5648,15469,1966,0,2017-08-17
1733,1,CLINTON                  ,34  THEATRES                                ,1063,8,J6,441 WEST 53RD   STREET                   ,10019,3,3,6,7531,22500,1927,18318000,2017-08-31
1734,1,CLINTON                  ,37  RELIGIOUS FACILITIES                    ,1053,59,M4,460 WEST 44TH   STREET                   ,10036,0,2,2,5021,8848,1910,8010000,2017-03-17
1735,1,CLINTON                  ,41  TAX CLASS 4 - OTHER                     ,1061,45,Z9,424 WEST 52ND   STREET                   ,10019,0,2,2,2510,336,1998,4700000,2017-02-01
1740,1,EAST VILLAGE             ,02  TWO FAMILY DWELLINGS                    ,436,1,S2,138 1 AVENUE                             ,10009,2,1,3,1200,3360,1900,3000000,2017-08-31
1741,1,EAST VILLAGE             ,02  TWO FAMILY DWELLINGS                    ,458,45,S2,8 EAST 2ND STREET                        ,10003,2,1,3,1600,6312,1899,0,2017-07-07
1742,1,EAST VILLAGE             ,02  TWO FAMILY DWELLINGS                    ,458,47,S2,4 EAST 2ND STREET                        ,10003,2,1,3,1280,5920,1899,6800000,2017-01-23
1743,1,EAST VILLAGE             ,02  TWO FAMILY DWELLINGS                    ,465,9,B9,102 EAST 10TH   STREET                   ,10003,2,0,2,893,2736,1899,0,2017-08-17
1744,1,EAST VILLAGE             ,02  TWO FAMILY DWELLINGS                    ,467,53,B9,217 EAST 11TH   STREET                   ,10003,2,0,2,1275,2640,1899,4000000,2017-06-08
